question,answer1,answer2,answer3,answer4,correct_answer,image_url
"Jak nazywa się podzbiór strukturalnego języka zapytań, związany z formułowaniem zapytań do bazy danych za pomocą polecenia SELECT?",SQL DML (ang. Data Manipulation Language),SQL DDL (ang. Data Definition Language),SQL DCL (ang. Data Control Language),SQL DQL (ang. Data Query Language),3,
"Jakie sa nazwy typowych poleceń języka zapytań SQL, związane z wykonywaniem operacji na danych SQL DML (np.: umieszczanie danych w bazie, kasowanie dokonywanie zmian w danych)?","SELECT, SELECT INTO","ALTER, CREATE, DROP","DENY, GRANT, REVOKE","DELETE, INSERT, UPDATE",3,
"Jak posortowana będzie lista, utworzona ze wszystkich kolumn tabeli uczniowie i zawierająca uczniów ze średnią większą od 5, która zostanie zwrócona jako wynik przedstawionego zapytania?",Rosnąca według parametru klasa,Malejąco według parametru klasa,Rosnaco według parametru srednia,Malejąco według parametru srednia,1,images/18.jpg
Według którego parametru oraz dla ilu tabel zostaną zwrócone wiersze na liście w wyniku przedstawionego zapytania?,Według parametru wyrob_id wyłącznie dla trzech tabel,Według parametru wyrob_id dla wyłącznie dla trzech tabel,Według parametru nr_id wyłącznie dla trzech tabel,Według parametru nr_id dla wszystkich tabel,3,images/19.jpg
"Który z obiektów relacyjnej bazy danych, będący kodem języka SQL, może być wywoływany w zapytaniach modyfikujących kolumny danych widoczne jako tabela, bez względu na to czy jest tworzony programowo, czy dynamicznie?",Reguła,Wyzwalacz,Procedura składowa,Funkcja zdefiniowana,3,
"Jak nazywa się element bazy danych, za pomocą którego można jedynie odczytać dane z bazy, prezentując je w postaci tekstu lub wykresu?",Tabela,Raport,Zapytanie,Formularz,1,
"Jakiego typu specjalizowane oprogramowanie narzędziowe należy zainstalować, aby umożliwić wykonywanie jego użytkownikowi operacji na zgromadzonych danych?",Klucz obcy,System Zarządzania Bazą Danych (SZBD),Obiektowy System Zarządzania Bazą Danych,Otwarty mechanizm komunikacji bazy danych,1,
"Co należy zastosować w organizacji danych, aby zapytania w bazie danych były wykonywane szybciej?",Reguły,Indeksy,Wartości domyślne,Klucze podstawowe,1,
W programie Microsoft Access formą zabezpieczeń dostępu do danych związaną z tabelą i kwerendą jest,stosowanie makr,przypisanie uprawnień,określanie przestrzeni tabel,wprowadzenie limitów przestrzeni dyskowej,1,
"Które z wymienionych osób odpowiadają za przygotowanie systemu bazy danych do pracy produkcyjnej w sposób ciągły, zarządzanie użytkownikami i instalowanie nowych wersji systemu bazodanowego?",Projektanci narzędzi deweloperskich,Administratorzy systemu bazy danych,Administratorzy serwerów i sieci komputerowych,Projektanci i programiści Systemu Zarządzania Bazą Danych.,1,
"Z jakimi mechanizmami nadawania zabezpieczeń, dającymi możliwości wykonywania operacji na bazie danych, związane są zagadnienia zarządzania kontami, użytkownikami i uprawnieniami?",Z regułami,Z atrybutami,Z przywilejami obiektowymi,Z przywilejami systemowymi,3,
"Metoda udostępniania bazy danych w programie Microsoft Access, dotycząca wszystkich obiektów bazy umieszczonych na dysku sieciowym i używanych jednocześnie przez różne osoby nosi nazwę",folderu sieciowego,serwera bazy danych,dzielonej bazy danych,witryny programu SharePoint,0,
"Jakie należy posiadać uprawnienia, aby wykonać i odtworzyć kopię zapasową bazy danych Microsoft SQL Server 2005 Express?",Users,Security users,Użytkownik lokalny,Administrator systemu,3,
Typ zmiennej w języku JavaScript,nie występuje,jest tylko jeden,następuje poprzez przypisanie wartości,musi być zadeklarowany na początku skryptu,2,
Zmienne typu int odnoszą się do liczb,naturalnych,całkowitych,w notacji stałoprzecinkowej,w notacji zmiennoprzecinkowej,1,
Co definiuje w języku C++ przedstawiony fragment kodu?,Hierarchię zmiennych,Trzy zmienne niepowiązane ze sobą,Typ strukturalny składający się z trzech pól,Kontakt pomiędzy zmiennymi globalnymi i lokalnymi,2,images/31.jpg
"Sposób programowania, w którym ciąg poleceń (sekwencji instrukcji) przekazywanych komputerowi jest postrzegany jako program, nosi nazwę programowania",stanowego,logicznego,funkcyjnego,imperatywnego,3,
Które wartości będą kolejno wypisane w wyniku działania przedstawionego skryptu,2 2 1,2 1 1,1 2 1,1 2 2,0,images/33.jpg
Fragment kodu prezentuje składnię języka,C,C#,PHP,JavaScript,2,images/34.jpg
"Jaki program komputerowy przekształca kod źródłowy, napisany w konkretnym języku programowania, na język komputera?",Debugger,Kompilator,Edytor kodu źródłowego,Środowisko programistyczne,1,
"Jak nazywa się program, który wykonuje instrukcje zawarte w kodzie źródłowym tworzonego programu bez uprzedniego generowania programu wynikowego?",Interpreter,Kompilator,Konwerter kodu,Konwerter języka,0,
"Który język skryptowy ogólnego przeznaczenia należy wykorzystać do tworzenia aplikacji WWW, zagnieżdżanych w języku HTML i uruchamianych po stronie serwera?",C#,Perl,PHP,JavaScript,2,
Jak nazywa się technika umożliwiająca otwarcie połączenia klienta z serwerem i komunikację bez przeładowywania całej strony WWW w sposób asynchroniczny ?,PHP,XML,AJAX,VBScript,2,
"Jak nazywa się element oznaczony znakiem zapytania w strukturze platformy .NET, który umożliwia tworzenie własnych aplikacji z użyciem frameworków i zamianę kompilowanego kodu pośredniego na kod maszynowy procesora zainstalowanego w komputerze?",Infrastruktura językowa (CLI),Biblioteka klas bazowych (BCL),Wspólne środowisko programistyczne (CLP),Wspólne środowisko uruchomieniowe (CLR),3,images/39.jpg
Jakiego rodzaju mechanizm kontroli bezpieczeństwa wykonywania aplikacji zawiera środowisko uruchomieniowe platformy .NET Framework?,Mechanizm wykonywania aplikacji dla bibliotek klas,Mechanizm wykonywania aplikacji realizowany przez frameworki aplikacji internetowych (ASP.NET),Mechanizm wykonywania aplikacji realizowany przez funkcję Windows API (Application Programming Interface),Mechanizm wykonywania aplikacji oparty na uprawnieniach kodu (CAS - Code Access Security) i na rolach (RBS - Role-Based Security),3,
Co to jest DBMS?,Strukturalny język zapytań kierowanych do bazy danych,System zarządzania bazą danych,Obiektowy język programowania do generowania stron www,Kaskadowy arkusz stylów do opisu wyglądu strony www,1,
Który z odsyłaczy posiada poprawną konstrukcję?,<a href='mailto:adres'> tekst </a>,<a href='http://adres'> tekst </a>,"<a href=""http://adres""> tekst <a>","<a href=""mailto:adres""> tekst </a>",3,
Fragment kodu napisany w języku HTML zamieszczony w ramce przedstawia listę,wypunktowaną,numerowaną,odnośników,skrótów,1,images/43.jpg
"Polecenie colspan służy do łączenia komórek tabeli w poziomie, natomiast rowspan w pionie. Którą z tabel wyświetli fragment kodu napisany w języku HTML?",A,B,C,D,1,images/44.jpg
W znaczniku <head> (w części <meta>) strony www NIE umieszcza się informacji dotyczącej,autora,kodowania,typu dokumentu,automatycznego odświeżania,2,
"Wskaż sposób, w jaki należy odwołać się do pliku default.css, jeśli index.html znajduje się bezpośrednio w katalogu Strona?","<link rel=""stylesheet"" type=""text/css"" href=""./style/default.css"" />","<link rel=""stylesheet"" type=""text/css"" href=""C:/style/default.css"" />","<link rel=""stylesheet"" type=""text/css"" href=""...styledefault.css"" />","<link rel=""stylesheet"" type=""text/css"" href=""c:style/default.css"" />",0,images/46.jpg
"Wskaż stwierdzenie, które jest prawdziwe dla następującej definicji stylu:",Jest to styl lokalny,Zdefiniowano dwie klasy,Akapit będzie transponowany na małe litery,Odnośnik będzie pisany czcionką 14 punktów,1,images/47.jpg
W palecie kolorów RGB kolor żółty jest połączeniem dwóch kolorów: zielonego i czerwonego. Który z kodów szesnastkowych oznacza kolor żółty?,#FF00FF,#00FFFF,#FFFF00,#F0F0F0,2,
Który z formatów NIE pozwala na zapis plików animowanych?,GIF,ACE,SWF,SVG,1,
Który z formatów graficznych pozwala na zapis przejrzystego tła?,GIF,RAW,BMP,JPEG,0,
Proces walidacji strony internetowej to,zespół działań mających na celu zwiększenie oglądalności,sprawdzenie jej w celu wyeliminowania błędów,publikowanie w sieci,promocja strony,1,
Które oprogramowanie NIE JEST systemem zarządzania treścią (CMS)?,Joomla,Apache,Mambo,WordPress,1,
Który z formatów zapewnia największa redukcję rozmiaru pliku dźwiękowego?,WAV,PCM,MP3,CD-Audio,2,
Wskaż prawidłową kolejność tworzenia bazy danych,"Określenie celu, utworzenie relacji, stworzenie tabel, normalizacja","Określenie celu, normalizacja, utworzenie relacji, stworzenie tabel","Określenie celu, stworzenie tabel, utworzenie relacji, normalizacja","Określenie celu, normalizacja, stworzenie tabel, utworzenie relacji",2,
Wskaż typ relacji pomiędzy tabelami: Tabela1 i Tabela3,Jeden do jednego,Wiele do jednego,Jeden do wielu,Wiele do wielu,3,images/55.jpg
Które z pól są umieszczone w formularzu?,"Textarea, Option, Input(Chechbox), Input(Checkbox), Input(Submit) Input(Reset)","Input(Text), Select, Input(Radio), Input(Radio), Input(Submit), Input(Reset)","Textarea, Select, Input(Radio), Input(Radio), Input(Reset), Input(Submit)","Input(Text), Input(Chechbox), Select, Select, Input(Submit), Input(Reset)",1,images/56.jpg
"Którą z właściwości pola tabeli należy zdefiniować, aby pole przyjmowało dane składające się wyłącznie z cyfr?",Tagi inteligentne,Wartość domyślną,Maskę wprowadzania,Regułę sprawdzania poprawności,2,images/57.jpg
"Którego ze słów kluczowych języka SQL należy użyć, aby wyeliminować duplikaty?",LIKE,DISTINCT,ORDER BY,GROUP BY,1,
Które ze stwierdzeń prawidłowo charakteryzuje zdefiniowaną tabelę: CREATE TABLE dane (kolumna INTEGER(3));,Tabela o nazwie posiada trzy kolumny liczb całkowitych,Tabela o nazwie posiada jedną kolumnę liczb całkowitych,Tabela posiada jedną kolumnę zawierającą trzy elementowe tablice,"Kolumny tabeli nazywają się: , ,",1,
Polecenie REVOKE SELECT ON nazwa1 FROM nazwa2 w języku SQL umożliwia,nadanie uprawnień z użyciem zdefiniowanego schematu,odbieranie uprawnień użytkownikowi,usuwanie użytkownika z bazy,nadawanie praw do tabeli,1,
"Które polecenie wydane z konsoli systemu operacyjnego, zawierające w swojej składni opcję --repair, umożliwia naprawę bazy danych?",mysqlcheck,mysqldump,truncate,create,0,
Które polecenie wydane z konsoli systemowej dokona przywrócenia bazy danych?,mysqldump -u root -p baza > kopia.sql,mysqldump -u root -p baza < kopia.sql,mysql -u root -p baza < kopia.sql,mysql -u root -p baza > kopia.sql,2,
Polecenie w języku SQL GRANT ALL PRIVILEGES ON klienci TO pracownik,nadaje uprawnienie grupie do tabeli,odbiera wszystkie uprawnienia do tabeli,skopiuje uprawnienia z grupy na użytkownika,nadaje wszystkie uprawnienia do tabeli użytkownikowi,3,
Która z wymienionych funkcji sortowania wykorzystywana w języku PHP sortuje tablicę asocjacyjną według indeksów,sort(),rsort(),asort(),ksort(),3,
W skrypcie PHP należy utworzyć cookie o nazwie owoce które przyjmie wartość jabłko. Cookie ma być dostępne przez jedną godzinę od jego utworzenia. W tym celu należy w skrypcie PHP użyć funkcji:,"cookie(""owoce"",""jabłko"",3600);","cookie(""jabłko"",""owoce"",3600);","setcookie(""owoce"",""jabłko"",time()+3600);","setcookie(""jabłko"",""owoce"",time()+3600);",2,
"Wskaż słowo kluczowe w języku C++ dodawane przed wbudowanym typem danych, które przesuwa zakres liczby wyłącznie nieujemne",long,const,short,unsigned,3,
W językach programowania tylko zmienna jednego typu wbudowanego może przyjmować wyłącznie dwie wartości. Jest to typ,logiczny,znakowy,tablicowy,łańcuchowy,0,
Instrukcja języka PHP tworząca obiekt pkt dla zdefiniowanej w ramce klasy ma postać,pkt Punkt;,pkt = new Punkt();,pkt Punkt();,Punkt() pkt;,1,images/68.jpg
Wskaż wynik wykonania skryptu napisanego w języku PHP,A,B,C,D,0,images/69.jpg
Które ze stwierdzeń dotyczących języków programowania NIE jest prawdziwe,C++ jest językiem obiektowym,JavaScript jest językiem skryptowym,SQL jest językiem programowania strukturalnego,PHP jest językiem do tworzenia stron w czasie rzeczywistym,2,
Jaka wartość zostanie wypisana na standardowym wyjściu dla zamieszczonego w ramce fragmentu programu napisanego w języku C++,0,2,3,32,2,images/71.jpg
"Wskaż stwierdzenie, które nie jest prawdziwe dla następującej definicji funkcji w języku C++?",Funkcja zwraca wartość,Funkcja nie zwraca wartości,Funkcja posiada dwa parametry,Funkcja odwołuje się do parametrów przez referencję,0,images/72.jpg
Element zadeklarowany w języku C++ double *x; to,Parametr formalny typu rzeczywistego,Zmienna rzeczywista,Zmienna całkowita,Wskaźnik,3,
Wskaż prawidłową kolejność tworzenia aplikacji,"Specyfikacja wymagań, analiza wymagań klienta, tworzenie, wdrażanie,testy","Analiza wymagań klienta, specyfikacja wymagań tworzenie, testy, wdrażanie","Tworzenie, analiza wymagań klienta, specyfikacja wymagań, wdrażanie, testy","Analiza wymagań klienta, specyfikacja wymagań, tworzenie, wdrażanie, testy",1,
"Jaką wartość zwróci funkcja zao zdefiniowana w języku C++, wywołana z aktualnym parametrem 3.55",3,4,3.5,4.05,1,images/75.jpg
Proces tłumaczenia kodu źródłowego pisanego przez programistę na zrozumiały dla komputera kod maszynowy to,debugowanie,uruchamianie,kompilowanie,implementowanie,2,
"Które ze stwierdzeń, w odniesieniu do zamieszczonej w ramce definicji funkcji, jest poprawne?",Pętla wykona się tylko raz,Funkcja posiada pętlę powtarzającą się 3 razy,Tekst będzie wczytywany do momentu podania liczby większej niż 3,"Wczytanie tekstu zakończy się, gdy tekst będzie się składał przynajmniej z 3 znaków",3,images/77.jpg
Po wykonaniu zamieszczonego w ramce skryptu napisanego w języku JavaScript w przeglądarce zostanie wypisana wartość,"12,4","12,5","15,4","15,5",1,images/78.jpg
"Poprzez deklarację var x=""true""; w języku JavieScript tworzy się zmienną typu",Logicznego,Liczbowego,String (ciąg znaków),Nieokreślonego (undefined),2,
Platforma wspierająca programowanie w technologii .NET to,db2,eclipse,framework,middleware,2,
"Proces, w którym wykrywa się i usuwa błędy w kodzie źródłowym programów, to",Kompilowanie,Debugowanie,standaryzacja,Normalizacja,1,
Aby ustawić tło na stronie www należy użyć polecenia,"<background=""""> </background>","<body bgcolor=""""> </body>","<bgcolor=""""> </bgcolor>","<body background=""""> </body>",1,
Parametr face znacznika <font> służy do określenia,barwy czcionki,nazwy czcionki,efektów czcionki,wielkości czcionki,1,
Kodowanie w standardzie ISO-8859-2 stosowane jest w celu poprawnego wyświetlenia,symboli matematycznych,"polskich liter, takich jak: ś, ć, ń, ó, ą",znaków specjalnych dla języka kodu strony,znaków zarezerwowanych dla języka opisu strony,1,
Zamieszczony w ramce kod wyświetla tabelę składajacą się z,dwóch wierszy i dwóch kolumn,dwóch wierszy i jednej kolumny,jednego wiersza i dwóch kolumn,jednego wiersza i jednej kolumny,2,images/85.jpg
"W języku JavaScript, aby wydzielić fragment napisu znajdujący się pomiędzy wskazanymi przez parametr indeksami należy użyć metody",slice(),replace(),trim(),concat(),0,
Które polecenie w CSS służy do załączenia zewnętrznego arkusza stylów?,open,import,require,include,1,
Selektor CSS a:link {color:red} zawarty w kaskadowych arkuszach stylów definiuje,klasę,pseudoklasę,identyfikator,pseudoelement,1,
"Jak nazywa się edytor wspomagający tworzenie stron internetowych, którego sposób działania można w polskim tłumaczeniu określić jako: otrzymujesz to, co widzisz?",IDE,WYSIWYG,WEB STUDIO,VISUAL EDITOR,1,
Kolor 255 12 12 w modelu RGB na stronie www powinien być zapisany w postaci,#2551212,#EE0C0C,#AB1A1D,#FF0C0C,3,
CMYK to zestaw czterech podstawowych kolorów farb drukarskich:,"turkusowego, błękitnego, białego, różowego","turkusowego, purpurowego, białego, czarnego","czerwonego, purpurowego, żółtego, szarego","turkusowego, purpurowego, żółtego, czarnego",3,
Cechą formatu PNG jest,obsługa animacji,bezstratna kompresja,brak obsługi kanału alfa,reprezentacja grafiki wektorowej,1,
Saturacja koloru nazywana jest inaczej,jasnością koloru,nasyceniem koloru,dopełnieniem koloru,przezroczystością koloru,1,
Kanał alfa służy do zdefiniowania,jasności i kontrastu kolorów,przezroczystość obiektu graficznego,zaznaczonego fragmentu obiektu graficznego,podstawowych parametrów obiektu graficznego,1,
Częstotliwość próbkowania ma wpływ na,jakość cyfrowego dzwięku,jakość analogowego dzwięku,amplitudę fali dźwiękowej utworu,skalę głośności zapisanego utworu,0,
Wysokość dźwięku zależy od,siły wzbudzenia drgania,sposobu pobudzania drgania,czasu drgania źródła dzwięku,częstotliwości drgania fali akustycznej,3,
Typ stało-znakowy w języku SQL to,char,text,time,bool,0,
Operator arytmetyczny modulo w języku SQL to,/,||,&,%,3,
Polecenie w języku SQL ALTER TABLE USA... ma za zadanie,usunięcie tabeli USA,modyfikację tabeli USA,nadpisanie starej tabeli USA,utworzenie nowej tabeli USA,1,
"Kod: SELECT imie, pesel, wiek FROM dane WHERE wiek IN (18,30) spowoduje wybranie:","imion, nazwisk i numerów PESEL osób w wieku poniżej 18 lat","imion, numerów PESEL i wieku osób z przedziału od 18 do 30 lat","imion, numerów PESEL i wieku osób posiadających powyżej 30 lat","imion, numerów PESEL i wieku osób w wieku równym 18 lub 30 lat",3,
Aby policzyć wszystkie wiersze tabeli Koty należy użyć polecenia:,SELECT COUNT(*) FROM Koty,SELECT ROWNUM() FROM Koty,SELECT COUNT(Koty) AS ROWNUM,SELECT COUNT(ROWNUM) FROM Koty,0,
"Aby podczas tworzenia tabeli utworzyć klucz obcy na wielu kolumnach, należy użyć polecenia","CONSTRAINT(nazwisko,imie) FOREIGN KEY REFERENCES osoby (nazwisko, imie)","CONSTRAINT(nazwisko,imie) FOREIGN REFERENCES KEY osoby (nazwisko, imie)","CONSTRAINT fk_osoba_uczen FOREIGN KEY (nazwisko, imie) REFERENCES osoby (nazwisko,imie)","CONSTRAINT fk_osoba_uczen FOREIGN KEY ON (nazwisko, imie) REFERENCES osoby (nazwisko,imie)",2,
W algebrze relacji operacja selekcji polega na,wyelminowaniu pustych wierszy,wybraniu krotek spełniających określone warunki,wybraniu krotek niezawierających wartości NULL,wyelminowaniu krotek z powtarzającymi się polami,1,
Relacja w bazach danych jest,logicznym połączeniem tabel,kluczem głównym w relacji tabel,algebraicznym połączeniem tabel,połączeniem dwóch pól jednej tabeli,0,
Wskaż poprawną kolejność etapów projektowania relacyjnej bazy danych,"Selekcja, Określenie relacji, Określenie kluczy podstawowych tabel, Określenie zbioru danych","Określenie relacji, Określenie kluczy podstawowych tabel, Selekcja, Określenie zbioru danych","Określenie kluczy podstawowych tabel, Określenie zbioru danych, Selekcja, Określenie relacji","Określenie zbioru danych, Selekcja, Określenie kluczy podstawowych tabel, Określenie relacji",3,
Formularze do obsługi baz danych tworzy się w celu,raportowania danych,wyszukiwania wierszy spełniających dane kryteria,wprowadzenia powiązań w relacyjnych bazach danych,"wygodniejszego wprowadzania, edytowania i usuwania danych",3,
"Integralność referencyjna w modelu relacyjnych baz danych oznacza, że",wartość klucza głównego oraz klucza obcego nie jest pusta,klucz główny lub klucz obcy nie zawierają wartości NULL,każdemu kluczowi głównemu odpowiada dokładnie jeden klucz obcy w tabeli lub tabelach powiązanych,wartość klucza obcego w danej tabeli musi być albo równa wartości klucza głównego w tabeli z nia powiązanej albo równa wartości NULL,3,
"Deklaracja w języku JavaScript: var x=true; powoduje, że zmienna x jest typu",logicznego,liczbowego,ciąg znaków,wyliczeniowego,0,
Obiekt typu array w języku Javascript służy do przechowywania,wielu wartości lub funkcji,wielu wartości dowolnego typu,wielu wartości wyłącznie liczbowych,wielu wartości wyłącznie tekstowych,1,
"Ukrywanie pewnych pól lub metod obiektów danej klasy tak, aby były one dostępne tylko metodom wewnętrznym tej klasy lub funkcjom zaprzyjaźnionym, to",polimorfizm,hermetyzacja,konkatenacja,dziedziczenie,1,
Odwoływanie funkcji do samej siebie to,iteracja,rekurencja,hermetyzacja,dziedziczenie,1,
W języku PHP zmienna $_GET jest zmienną,"predefiniowaną, używaną do przekazywania danych do skryptów PHP poprzez adres strony","predefiniowaną, używaną do gromadzenia wartości formularza po nagłówkach zlecenia HTTP (danych z formularza nie można zobaczyć w adresie)","zdefiniowaną przez twórcę strony, służącą do przekazywania danych z formularza przez adres strony","zwykłą, zdefiniowaną przez twórcę strony",0,
W języku PHP w instrukcji switch musi występować,instrukcja default,konstrukcja switch(wyrażenie),przynajmniej dwie instrukcje case,instrukcja break po każdej instrukcji case,1,
Konstruktor w języku PHP jest metodą o nazwie,_new,_open,_create,_construct,3,
Debugger to program służący do,badania właściwości programu,sprawdzania szybkości programu,wyszukiwania błędów w kodzie programu,zoptymalizowanie pamięci używanej przez aplikację,2,
Kod zamieszczony w ramce spowoduje wypisanie liczb,2 4 6 8,1 3 5 7 9,2 4 6 8 10,1 2 3 4 5 6 7 8 9 10,2,images/116.jpg
Który kod jest alternatywny do kodu zamieszczonego w ramce?,A,B,C,D,0,images/117.jpg
Zamieszczony w ramce fragment skryptu w języku JavaScript,przypisze zmienniej s zmienną t,wyświetli długość napisu ze zmiennej t,przypisze zmiennej s długość napisu ze zmiennej t,"przypisze zmiennej s fragment napisu ze zmiennej t, o określonej przez zmienną length długości",2,images/118.jpg
Zamieszczony w ramce fragment kodu w JavaScript wypisze,"""ze""","""wo""","""owodzeni""","""wodzenia""",0,images/119.jpg
Który fragment kodu JavaScript zwróci wartość true?,"""a"" > ""b""","""ab"" > ""c""","""abc"" > ""def""","""def"" > ""abc""",3,
"W kodzie PHP znak ""//"" oznacza",początek skryptu,operator alernatywy,operator dzielenia całkowitego,początek komentarza jednoliniowego,3,
"Zapisując hasło użytkownika serwisu WWW (np. bankowości internetowej), w celu jego zabezpieczenia przed odtajnieniem, zwykle używa się funkcji",klucza,cyklometrycznych,abstrakcyjnych,mieszających,0,
W celu określenia wysokości obrazka wyświetlonego na stronie WWW należy wykorzystać właściwość CSS o nazwie,width,padding,height,margin,2,
"Aby ustawić czcionkę Verdana w kodzie CSS, należy wykorzystać właściwość",font-family: Verdana;,font-style: Verdana;,font-name: Verdana;,font-weight: Verdana;,0,
Funkcja zapisana językiem PHP służy do,połączenia z bazą danych,ustawienia hasła do bazy danych,zabezpieczenia bazy danych,pobrania danych z bazy danych,3,images/125.jpg
"Kwerenda pozwalająca na wprowadzenie zmian w wielu rekordach lub przeniesienie wielu rekordów przy użyciu pojedynczej operacji, nosi nazwę kwerendy",krzyżowej,funkcjonalnej,wybierającej,parametrycznej,1,
Wskaż rezultat działania fragmentu kodu JavaScript,Usunięcie akapitu ze strony,Dodanie akapitu na koniec strony,Wyświetlenie okna dialogowego z napisem akapit,Dodanie akapitu na początku strony,1,images/127.jpg
Fizyczny model replikacji bazy danych przedstawiony na rysunku jest modelem,rozproszonym,centralnego subskrybenta,równorzędnym,centralnego wydawcy,3,images/128.jpg
Za pomocą którego protokołu należy wysłać pliki na serwer WWW?,DHCP,FTP,POP3,DNS,1,
Wynikiem działania zamieszczonej pętli zapisanej językiem PHP jest wypisanie kolejnych liczb,od 10 do 1,od 1 do 10,od 10 do 2,od 2 do 10,0,images/130.jpg
Które z poleceń naprawi uszkodzoną tabelę w języku SQL?,REGENERATE TABLE tbl_name,REPAIR TABLE tblname,OPTIMIZE TABLE tbl_name,ANALYZE TABLE tbl_name,1,
Który z wymienionych formatów plików graficznych obsługuje przezroczystość?,JPG,PNG,NEF,BMP,1,
Który zapis stylu CSS ustawi tło bloku na kolor niebieski?,div {shadow: blue;},div {border-color: blue;},div {color: blue;},div {background-color: blue;},3,
Domyślna nazwa pliku konfiguracyjnego serwera Apache to,.configuration,configuration.php,htaccess.cnf,.htaccess,3,
Organizacja zajmująca się ustalaniem standardu dla języka HTML nosi nazwę,W3C,ISO,NASK,WYSIWYG,0,
Który z wymienionych systemów nie jest systemem CMS?,Joomla,Adobe Flash,WordPress,Drupal,1,
Która ze zdefiniowanych funkcji w języku PHP jako wynik zwraca połowę kwadratu wartości przekazanej?,function licz($a) { echo $a*$a/2; },function licz($a) { return $a/2; },function licz($a) { return $a*$a/2; },function licz($a) { echo $a/2; },2,
"W strukturalnych językach programowania w celu przechowania informacji o 50 uczniach (ich imionach, nazwiskach, średniej ocen) należy użyć",tablicy 50 elementów o składowych strukturalnych,struktury 50 elementów o składowych typu tablicowego,tablicy 50 elementów o składowych łańcuchowych,klasy 50 elementów typu tablicowego,0,
"Aby zobaczyć wyniki działania skryptu napisanego w języku PHP, będącego elementem strony WWW, musi być on",zinterpretowany po stronie serwera,skompilowany po stronie klienta,skompilowany po stronie serwera,zinterpretowany po stronie klienta,0,
Projektowanie logicznego układu witryny polega na,rozmieszczeniu elementów w konkretnych miejscach witryny,opracowaniu zestawu grafik dla witryny,zdefiniowaniu treści witryny,ustaleniu adresów URL dla podstron witryny,0,
Prosta animacja może być zapisana w formacie,PSD,BMP,GIF,TIFF,2,
Która z instrukcji umożliwia wysłanie tekstu do przeglądarki?,echo,exit,break,type,0,
"Aby stworzyć tabelę w bazie danych, należy zastosować polecenie SQL",ADD TABLE,NEW TABLE,PLUS TABLE,CREATE TABLE,3,
"Zdarzenie JavaScript, będące reakcją na pojedynczo kliknięty dowolny element strony, nosi nazwę",onClick,onDblClick,onLoad,onKeyDown,0,
